-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 0 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=423675, spec=[0, 6, 0, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 0 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=160245, spec=[0, 6, 0, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0695 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.893 | V -0.770 | pL -0.137 | vL 0.002 | ∇ 0.092
U 1 | F 002048 | FPS 0672 | D 3 | rR:μσmM 0.04 0.17 0.00 0.69 | F:μσmM 7.0 27.1 0.0 112.0 | H 1.889 | V -0.109 | pL -0.032 | vL 0.002 | ∇ 0.046
U 2 | F 004096 | FPS 0692 | D 5 | rR:μσmM 0.02 0.08 0.00 0.31 | F:μσmM 15.5 60.0 0.0 248.0 | H 1.889 | V -0.644 | pL -0.121 | vL 0.003 | ∇ 0.100
U 2 | F 004096 | FPS 0678 | D 6 | rR:μσmM 0.13 0.22 0.00 0.69 | F:μσmM 44.8 80.1 0.0 220.0 | H 1.917 | V -0.083 | pL -0.030 | vL 0.003 | ∇ 0.037
U 3 | F 006144 | FPS 0703 | D 8 | rR:μσmM 0.02 0.08 0.00 0.31 | F:μσmM 319.2 18.4 248.0 324.0 | H 1.899 | V -0.492 | pL -0.158 | vL 0.019 | ∇ 0.119
U 3 | F 006144 | FPS 0675 | D 9 | rR:μσmM 0.13 0.22 0.00 0.69 | F:μσmM 287.8 66.0 112.0 324.0 | H 1.932 | V -0.062 | pL -0.019 | vL 0.000 | ∇ 0.015
U 4 | F 008192 | FPS 0703 | D 11 | rR:μσmM 0.02 0.08 0.00 0.31 | F:μσmM 319.2 18.4 248.0 324.0 | H 1.898 | V -0.402 | pL -0.069 | vL 0.001 | ∇ 0.063
U 4 | F 008192 | FPS 0671 | D 12 | rR:μσmM 0.05 0.14 0.00 0.44 | F:μσmM 309.8 37.9 200.0 324.0 | H 1.940 | V -0.054 | pL -0.010 | vL 0.000 | ∇ 0.007
U 5 | F 010240 | FPS 0697 | D 14 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.895 | V -0.340 | pL -0.062 | vL 0.000 | ∇ 0.054
U 5 | F 010240 | FPS 0669 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.941 | V -0.046 | pL -0.009 | vL 0.000 | ∇ 0.013
U 6 | F 012288 | FPS 0699 | D 17 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.884 | V -0.285 | pL -0.067 | vL 0.004 | ∇ 0.055
U 6 | F 012288 | FPS 0670 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V -0.041 | pL -0.009 | vL 0.000 | ∇ 0.011
U 7 | F 014336 | FPS 0691 | D 20 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.903 | V -0.243 | pL -0.044 | vL 0.000 | ∇ 0.029
