-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 1 1 1

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=1, spec=[1, 1, 1, 1], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 23 | F 047104 | FPS 0695 | D 68 | rR:μσmM 0.92 0.02 0.82 0.96 | F:μσmM 27.1 7.4 15.0 64.0 | H 1.391 | V 0.800 | pL -0.003 | vL 0.001 | ∇ 0.018
U 24 | F 049152 | FPS 0694 | D 71 | rR:μσmM 0.92 0.02 0.86 0.95 | F:μσmM 27.4 6.8 17.0 51.0 | H 1.363 | V 0.801 | pL -0.006 | vL 0.001 | ∇ 0.024
U 25 | F 051200 | FPS 0696 | D 74 | rR:μσmM 0.92 0.02 0.86 0.95 | F:μσmM 27.6 7.0 17.0 52.0 | H 1.378 | V 0.793 | pL -0.001 | vL 0.001 | ∇ 0.023
U 26 | F 053248 | FPS 0691 | D 77 | rR:μσmM 0.92 0.03 0.78 0.95 | F:μσmM 29.0 9.2 18.0 78.0 | H 1.413 | V 0.798 | pL 0.001 | vL 0.002 | ∇ 0.020
U 27 | F 055296 | FPS 0695 | D 80 | rR:μσmM 0.92 0.02 0.84 0.95 | F:μσmM 29.1 7.7 17.0 57.0 | H 1.433 | V 0.793 | pL 0.005 | vL 0.001 | ∇ 0.024
U 28 | F 057344 | FPS 0691 | D 83 | rR:μσmM 0.92 0.02 0.82 0.95 | F:μσmM 28.8 8.6 19.0 64.0 | H 1.462 | V 0.794 | pL 0.002 | vL 0.001 | ∇ 0.018
U 29 | F 059392 | FPS 0692 | D 86 | rR:μσmM 0.92 0.02 0.87 0.95 | F:μσmM 28.8 6.3 17.0 48.0 | H 1.433 | V 0.790 | pL 0.005 | vL 0.001 | ∇ 0.019
U 30 | F 061440 | FPS 0688 | D 89 | rR:μσmM 0.92 0.02 0.85 0.95 | F:μσmM 30.3 8.2 19.0 54.0 | H 1.457 | V 0.788 | pL 0.001 | vL 0.001 | ∇ 0.022
Status saved
U 31 | F 063488 | FPS 0697 | D 92 | rR:μσmM 0.91 0.02 0.86 0.96 | F:μσmM 31.6 8.0 16.0 51.0 | H 1.376 | V 0.779 | pL 0.007 | vL 0.002 | ∇ 0.023
U 32 | F 065536 | FPS 0691 | D 95 | rR:μσmM 0.92 0.02 0.85 0.96 | F:μσmM 29.4 7.5 16.0 53.0 | H 1.350 | V 0.781 | pL -0.006 | vL 0.001 | ∇ 0.024
U 33 | F 067584 | FPS 0691 | D 98 | rR:μσmM 0.92 0.02 0.85 0.96 | F:μσmM 27.4 7.2 14.0 53.0 | H 1.377 | V 0.797 | pL -0.008 | vL 0.001 | ∇ 0.014
U 34 | F 069632 | FPS 0694 | D 101 | rR:μσmM 0.92 0.02 0.82 0.95 | F:μσmM 27.1 8.0 17.0 65.0 | H 1.361 | V 0.800 | pL -0.008 | vL 0.001 | ∇ 0.026
U 35 | F 071680 | FPS 0690 | D 104 | rR:μσmM 0.92 0.02 0.84 0.96 | F:μσmM 27.3 6.8 15.0 57.0 | H 1.343 | V 0.800 | pL 0.003 | vL 0.001 | ∇ 0.021
U 36 | F 073728 | FPS 0691 | D 107 | rR:μσmM 0.93 0.02 0.83 0.96 | F:μσmM 26.8 7.2 15.0 60.0 | H 1.407 | V 0.802 | pL -0.009 | vL 0.001 | ∇ 0.026
U 37 | F 075776 | FPS 0689 | D 110 | rR:μσmM 0.92 0.03 0.77 0.95 | F:μσmM 29.5 11.6 18.0 82.0 | H 1.431 | V 0.791 | pL 0.012 | vL 0.002 | ∇ 0.026
U 38 | F 077824 | FPS 0695 | D 113 | rR:μσmM 0.92 0.02 0.88 0.96 | F:μσmM 28.9 5.9 16.0 43.0 | H 1.466 | V 0.790 | pL -0.001 | vL 0.001 | ∇ 0.022
U 39 | F 079872 | FPS 0691 | D 116 | rR:μσmM 0.92 0.02 0.85 0.95 | F:μσmM 30.1 7.7 17.0 53.0 | H 1.437 | V 0.783 | pL 0.003 | vL 0.001 | ∇ 0.027
U 40 | F 081920 | FPS 0690 | D 119 | rR:μσmM 0.92 0.03 0.79 0.95 | F:μσmM 30.4 9.4 17.0 74.0 | H 1.471 | V 0.788 | pL -0.003 | vL 0.001 | ∇ 0.024
Status saved
U 41 | F 083968 | FPS 0694 | D 122 | rR:μσmM 0.92 0.02 0.84 0.95 | F:μσmM 28.7 7.8 18.0 56.0 | H 1.410 | V 0.784 | pL -0.009 | vL 0.001 | ∇ 0.020
U 42 | F 086016 | FPS 0694 | D 125 | rR:μσmM 0.93 0.02 0.87 0.96 | F:μσmM 26.8 5.6 15.0 48.0 | H 1.427 | V 0.803 | pL -0.009 | vL 0.001 | ∇ 0.022
U 43 | F 088064 | FPS 0693 | D 128 | rR:μσmM 0.92 0.02 0.84 0.96 | F:μσmM 29.4 7.5 15.0 56.0 | H 1.348 | V 0.792 | pL 0.004 | vL 0.001 | ∇ 0.018
U 44 | F 090112 | FPS 0693 | D 131 | rR:μσmM 0.92 0.02 0.87 0.96 | F:μσmM 27.0 6.0 14.0 47.0 | H 1.391 | V 0.801 | pL -0.007 | vL 0.001 | ∇ 0.034
U 45 | F 092160 | FPS 0690 | D 134 | rR:μσmM 0.92 0.02 0.83 0.95 | F:μσmM 27.3 7.0 17.0 62.0 | H 1.461 | V 0.803 | pL 0.004 | vL 0.001 | ∇ 0.021
U 46 | F 094208 | FPS 0694 | D 137 | rR:μσmM 0.92 0.02 0.80 0.95 | F:μσmM 29.9 8.7 18.0 73.0 | H 1.472 | V 0.789 | pL 0.006 | vL 0.001 | ∇ 0.028
U 47 | F 096256 | FPS 0689 | D 140 | rR:μσmM 0.91 0.03 0.81 0.96 | F:μσmM 30.9 10.8 16.0 67.0 | H 1.517 | V 0.777 | pL 0.005 | vL 0.002 | ∇ 0.036
