update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,970.0235147234655,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9175883382558823,-0.09889107383787632,-0.015019933984149247,0.0014998537517385557,0.040131683385424353,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,578.5453018901334,5,0.05542500037699938,0.13256258644888805,0.0,0.5067999958992004,239.8125,27.90210285534049,137.0,250.0,1.9328639805316925,-0.06619157176464796,-0.030759482644498348,0.0015919662109808996,0.021037318426799456,0.05542500037699938,0.13256258644888805,0.0,0.5067999958992004
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,575.3693036330662,9,0.044400000013411045,0.09717653956476256,0.0,0.3303999900817871,242.875,17.014240359181482,186.0,250.0,1.9307619631290436,-0.05578474095091224,-0.014277129550464451,0.0005211495245021069,0.011497013876211187,0.044400000013411045,0.09717653956476256,0.0,0.3303999900817871
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,614.7142964383869,12,0.020649999380111694,0.07997710369836608,0.0,0.3303999900817871,246.0,15.491933384829668,186.0,250.0,1.9388407766819,-0.04554976522922516,-0.01625340583268553,0.00017622789346205536,0.005670826798246497,0.020649999380111694,0.07997710369836608,0.0,0.3303999900817871
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,940.1179273645569,14,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9432198405265808,-0.04140747059136629,-0.007746711373329163,3.445196375650994e-05,0.0036420110042990972,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,898.7817169037853,17,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984,244.375,21.78553132241672,160.0,250.0,1.943491369485855,-0.027942382032051682,-0.012823700089938939,0.0005580950764851877,0.008580561730191382,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,545.3776789501596,20,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984,244.375,21.78553132241672,160.0,250.0,1.9434976428747177,-0.0219363069627434,-0.004132655856665224,3.6695228118333034e-05,0.0036714301052247194,0.026499999687075615,0.10263405746254561,0.0,0.42399999499320984
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1129.1604545280074,22,0.04417499992996454,0.09707666830664605,0.0,0.3124000132083893,242.9375,17.05311096984946,191.0,250.0,1.941325455904007,-0.011220804823096842,-0.011035044444724917,0.0003515046810207423,0.007928490706106227,0.04417499992996454,0.09707666830664605,0.0,0.3124000132083893
