U 9 | F 018432 | FPS 0668 | D 27 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.013 | pL 0.003 | vL 0.000 | ∇ 0.006
U 9 | F 018432 | FPS 0668 | D 28 | rR:μσmM 0.05 0.19 0.00 0.80 | F:μσmM 308.3 60.8 73.0 324.0 | H 1.938 | V 0.058 | pL 0.005 | vL 0.001 | ∇ 0.026
U 10 | F 020480 | FPS 0649 | D 31 | rR:μσmM 0.02 0.09 0.00 0.39 | F:μσmM 317.5 25.2 220.0 324.0 | H 1.938 | V 0.013 | pL -0.001 | vL 0.000 | ∇ 0.012
Status saved
U 10 | F 020480 | FPS 0661 | D 31 | rR:μσmM 0.07 0.21 0.00 0.80 | F:μσmM 302.1 63.9 73.0 324.0 | H 1.942 | V 0.043 | pL 0.005 | vL 0.000 | ∇ 0.022
Status saved
U 11 | F 022528 | FPS 0673 | D 34 | rR:μσmM 0.02 0.09 0.00 0.39 | F:μσmM 317.5 25.2 220.0 324.0 | H 1.942 | V 0.010 | pL 0.003 | vL 0.000 | ∇ 0.008
U 11 | F 022528 | FPS 0669 | D 34 | rR:μσmM 0.02 0.09 0.00 0.38 | F:μσmM 317.8 24.2 224.0 324.0 | H 1.942 | V 0.036 | pL 0.010 | vL 0.000 | ∇ 0.014
U 12 | F 024576 | FPS 0667 | D 37 | rR:μσmM 0.04 0.16 0.00 0.67 | F:μσmM 311.2 49.4 120.0 324.0 | H 1.940 | V 0.013 | pL 0.000 | vL 0.000 | ∇ 0.050
U 12 | F 024576 | FPS 0662 | D 37 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.031 | pL 0.005 | vL 0.000 | ∇ 0.005
U 13 | F 026624 | FPS 0674 | D 40 | rR:μσmM 0.09 0.19 0.00 0.67 | F:μσmM 299.6 56.3 120.0 324.0 | H 1.936 | V 0.016 | pL -0.002 | vL 0.001 | ∇ 0.040
U 13 | F 026624 | FPS 0671 | D 40 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.024 | pL 0.008 | vL 0.000 | ∇ 0.007
U 14 | F 028672 | FPS 0670 | D 43 | rR:μσmM 0.07 0.14 0.00 0.43 | F:μσmM 306.6 37.2 206.0 324.0 | H 1.940 | V 0.009 | pL -0.005 | vL 0.001 | ∇ 0.013
U 14 | F 028672 | FPS 0669 | D 43 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.945 | V 0.021 | pL 0.004 | vL 0.000 | ∇ 0.005
U 15 | F 030720 | FPS 0672 | D 46 | rR:μσmM 0.04 0.11 0.00 0.36 | F:μσmM 313.3 28.4 232.0 324.0 | H 1.943 | V 0.003 | pL -0.000 | vL 0.000 | ∇ 0.007
U 15 | F 030720 | FPS 0661 | D 46 | rR:μσmM 0.01 0.05 0.00 0.22 | F:μσmM 321.2 10.9 279.0 324.0 | H 1.943 | V 0.021 | pL 0.002 | vL 0.000 | ∇ 0.009
U 16 | F 032768 | FPS 0681 | D 49 | rR:μσmM 0.04 0.11 0.00 0.36 | F:μσmM 313.3 28.4 232.0 324.0 | H 1.936 | V 0.008 | pL -0.003 | vL 0.001 | ∇ 0.022
U 16 | F 032768 | FPS 0663 | D 49 | rR:μσmM 0.02 0.06 0.00 0.22 | F:μσmM 320.8 10.9 279.0 324.0 | H 1.944 | V 0.015 | pL 0.003 | vL 0.000 | ∇ 0.004
U 17 | F 034816 | FPS 0672 | D 52 | rR:μσmM 0.04 0.17 0.00 0.69 | F:μσmM 310.8 51.3 112.0 324.0 | H 1.936 | V 0.008 | pL -0.001 | vL 0.001 | ∇ 0.040
U 17 | F 034816 | FPS 0664 | D 53 | rR:μσmM 0.08 0.18 0.00 0.61 | F:μσmM 303.2 54.3 139.0 324.0 | H 1.937 | V 0.023 | pL -0.006 | vL 0.002 | ∇ 0.027
U 18 | F 036864 | FPS 0673 | D 55 | rR:μσmM 0.08 0.14 0.00 0.46 | F:μσmM 306.4 37.0 194.0 324.0 | H 1.934 | V 0.018 | pL -0.008 | vL 0.001 | ∇ 0.040
U 18 | F 036864 | FPS 0665 | D 56 | rR:μσmM 0.08 0.18 0.00 0.61 | F:μσmM 302.3 54.2 139.0 324.0 | H 1.943 | V 0.008 | pL -0.001 | vL 0.000 | ∇ 0.007
U 19 | F 038912 | FPS 0670 | D 59 | rR:μσmM 0.16 0.22 0.00 0.65 | F:μσmM 282.5 67.4 125.0 324.0 | H 1.929 | V 0.023 | pL -0.009 | vL 0.001 | ∇ 0.033
U 19 | F 038912 | FPS 0661 | D 59 | rR:μσmM 0.04 0.12 0.00 0.49 | F:μσmM 313.9 34.2 183.0 324.0 | H 1.942 | V 0.007 | pL 0.001 | vL 0.000 | ∇ 0.005
