U 9 | F 018432 | FPS 0726 | D 26 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 322.8 4.8 304.0 324.0 | H 1.942 | V -0.072 | pL -0.017 | vL 0.000 | ∇ 0.038
U 9 | F 018432 | FPS 0670 | D 27 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.940 | V -0.141 | pL -0.026 | vL 0.000 | ∇ 0.030
U 10 | F 020480 | FPS 0723 | D 29 | rR:μσmM 0.06 0.14 0.00 0.52 | F:μσmM 308.8 39.4 173.0 324.0 | H 1.931 | V -0.043 | pL -0.018 | vL 0.001 | ∇ 0.055
Status saved
U 10 | F 020480 | FPS 0666 | D 30 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.940 | V -0.123 | pL -0.022 | vL 0.000 | ∇ 0.023
Status saved
U 11 | F 022528 | FPS 0727 | D 31 | rR:μσmM 0.05 0.14 0.00 0.52 | F:μσmM 310.0 39.5 173.0 324.0 | H 1.942 | V -0.039 | pL -0.009 | vL 0.000 | ∇ 0.015
U 11 | F 022528 | FPS 0671 | D 34 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.937 | V -0.100 | pL -0.028 | vL 0.001 | ∇ 0.031
U 12 | F 024576 | FPS 0728 | D 34 | rR:μσmM 0.09 0.21 0.00 0.69 | F:μσmM 296.7 62.0 111.0 324.0 | H 1.936 | V -0.025 | pL -0.014 | vL 0.001 | ∇ 0.048
U 12 | F 024576 | FPS 0671 | D 37 | rR:μσmM 0.04 0.16 0.00 0.66 | F:μσmM 311.4 48.9 122.0 324.0 | H 1.938 | V -0.084 | pL -0.018 | vL 0.001 | ∇ 0.030
U 13 | F 026624 | FPS 0728 | D 37 | rR:μσmM 0.10 0.22 0.00 0.69 | F:μσmM 296.4 67.4 111.0 324.0 | H 1.934 | V -0.015 | pL -0.013 | vL 0.002 | ∇ 0.046
U 13 | F 026624 | FPS 0676 | D 40 | rR:μσmM 0.04 0.16 0.00 0.66 | F:μσmM 311.4 48.9 122.0 324.0 | H 1.940 | V -0.060 | pL -0.020 | vL 0.000 | ∇ 0.020
U 14 | F 028672 | FPS 0729 | D 40 | rR:μσmM 0.14 0.27 0.00 0.76 | F:μσmM 282.8 81.5 85.0 324.0 | H 1.926 | V -0.007 | pL -0.015 | vL 0.003 | ∇ 0.064
U 15 | F 030720 | FPS 0727 | D 43 | rR:μσmM 0.13 0.27 0.00 0.76 | F:μσmM 284.8 82.1 85.0 324.0 | H 1.932 | V 0.008 | pL -0.006 | vL 0.001 | ∇ 0.033
U 14 | F 028672 | FPS 0665 | D 43 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.942 | V -0.046 | pL -0.009 | vL 0.000 | ∇ 0.010
U 16 | F 032768 | FPS 0726 | D 46 | rR:μσmM 0.10 0.20 0.00 0.63 | F:μσmM 296.5 59.1 132.0 324.0 | H 1.938 | V 0.012 | pL -0.006 | vL 0.001 | ∇ 0.036
U 15 | F 030720 | FPS 0673 | D 46 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V -0.036 | pL -0.006 | vL 0.000 | ∇ 0.007
