update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,674.3071395853882,3,0.0,0.0,0,0,0.0,0.0,0,0,1.8561418801546097,-0.12991764582693577,-0.019539129687473178,0.0008458924276055768,0.08593007383168919,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,676.3634825504373,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9027726650238037,-0.10886865295469761,-0.017936470918357372,0.0001875208272394957,0.02504596271195355,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,677.8292815167962,9,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9229567646980286,-0.07983896136283875,-0.02785552479326725,0.0004212412968627177,0.03411654531454038,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,680.300331678636,12,0.0329861119389534,0.12775466219570017,0.0,0.5277777910232544,314.375,37.27746470724639,170.0,324.0,1.934422716498375,-0.059366436675190926,-0.016112066223286092,0.0012739133853756357,0.060725649395318375,0.0329861119389534,0.12775466219570017,0.0,0.5277777910232544
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,677.0960157049636,15,0.05052083358168602,0.1406287526688908,0.0,0.5277777910232544,310.3125,39.483728848096405,170.0,324.0,1.939455807209015,-0.0564353046938777,-0.013010679860599339,0.0004388202796690166,0.02441925718741355,0.05052083358168602,0.1406287526688908,0.0,0.5277777910232544
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,682.8224639331462,18,0.05052083358168602,0.1406287526688908,0.0,0.5277777910232544,310.3125,39.483728848096405,170.0,324.0,1.9411077499389648,-0.04386019567027688,-0.010233729495666921,0.00010683820528356591,0.018151359811389683,0.05052083358168602,0.1406287526688908,0.0,0.5277777910232544
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,676.8647819529298,21,0.045486110262572765,0.13763277208251176,0.0,0.5527777671813965,312.125,39.56146325655814,161.0,324.0,1.9287153631448746,-0.025297396583482623,-0.012446694541722536,0.0012029970712319482,0.04376123034062836,0.045486110262572765,0.13763277208251176,0.0,0.5527777671813965
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,678.5148793363869,24,0.045486110262572765,0.13763277208251176,0.0,0.5527777671813965,312.125,39.56146325655814,161.0,324.0,1.936387911438942,-0.02468691347166896,-0.00799695955356583,0.00011308917601127177,0.013127011879620967,0.045486110262572765,0.13763277208251176,0.0,0.5527777671813965
