update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1570.1945542532856,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9128873646259308,0.06481892056763172,0.007122183975297958,0.0041910896834451705,0.018117131160444444,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2219.4171781613886,2,0.0,0.0,0,0,0.0,0.0,0,0,1.920541137456894,0.05527186347171664,0.007258101017214358,0.000550119442777941,0.0060714626493729345,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2233.559445116164,3,0.01701388880610466,0.06589450800026814,0.0,0.27222222089767456,320.125,15.00781046655374,262.0,324.0,1.9249066561460495,0.04109816765412688,0.011957202455960214,0.0005142896006873343,0.00746621004183785,0.01701388880610466,0.06589450800026814,0.0,0.27222222089767456
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2274.900241819235,4,0.01701388880610466,0.06589450800026814,0.0,0.27222222089767456,320.125,15.00781046655374,262.0,324.0,1.929678499698639,0.03356247767806053,0.005915792193263769,0.00019138531206408516,0.004414948868671979,0.01701388880610466,0.06589450800026814,0.0,0.27222222089767456
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2221.372035324998,4,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.9338428229093552,0.031023982213810086,0.005864525388460606,0.00013140079136064742,0.003196928099423022,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2260.9898610020236,5,0.0,0.0,0.0,0.0,324.0,0.0,324.0,324.0,1.937036395072937,0.026175557170063257,0.0052082136971876025,0.00012260857238288736,0.0028613812618343793,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,2202.8777629464935,6,0.0251736119389534,0.09749697980345472,0.0,0.4027777910232544,317.1875,26.384699046038026,215.0,324.0,1.9387703239917755,0.026520725106820464,0.0008961480671132449,0.0007086052264639875,0.004288520551771093,0.0251736119389534,0.09749697980345472,0.0,0.4027777910232544
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,2230.6935359514446,7,0.0251736119389534,0.09749697980345472,0.0,0.4027777910232544,317.1875,26.384699046038026,215.0,324.0,1.9399034231901169,0.020323728444054723,0.006495711277239025,6.81649507896509e-05,0.0018388745123859413,0.0251736119389534,0.09749697980345472,0.0,0.4027777910232544
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,2115.540572017958,8,0.013020833022892475,0.05042946945141013,0.0,0.2083333283662796,321.5625,9.44039690638058,285.0,324.0,1.941117987036705,0.019682986894622445,0.001647643708565738,0.00019774214433709858,0.002411075828152273,0.013020833022892475,0.05042946945141013,0.0,0.2083333283662796
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,1981.1785662062332,9,0.013020833022892475,0.05042946945141013,0.0,0.2083333283662796,321.5625,9.44039690638058,285.0,324.0,1.9421534836292267,0.01725175022147596,0.003298045659903437,2.5703807068566675e-05,0.0012548031787593347,0.013020833022892475,0.05042946945141013,0.0,0.2083333283662796
11,22528,1877.877687363995,10,0.013020833022892475,0.05042946945141013,0.0,0.2083333283662796,321.5625,9.44039690638058,285.0,324.0,1.9431307315826416,0.014813766465522349,0.003474790049949661,3.552602743184252e-05,0.0015871253831658684,0.013020833022892475,0.05042946945141013,0.0,0.2083333283662796
