U 9 | F 018432 | FPS 0689 | D 26 | rR:μσmM 0.09 0.23 0.00 0.79 | F:μσmM 297.4 71.5 74.0 324.0 | H 1.938 | V -0.011 | pL -0.009 | vL 0.001 | ∇ 0.017
U 9 | F 018432 | FPS 0673 | D 27 | rR:μσmM 0.04 0.14 0.00 0.59 | F:μσmM 312.9 43.1 146.0 324.0 | H 1.934 | V 0.017 | pL -0.003 | vL 0.001 | ∇ 0.015
U 10 | F 020480 | FPS 0686 | D 29 | rR:μσmM 0.11 0.23 0.00 0.79 | F:μσmM 293.4 71.0 74.0 324.0 | H 1.937 | V 0.001 | pL -0.005 | vL 0.001 | ∇ 0.016
Status saved
U 10 | F 020480 | FPS 0673 | D 30 | rR:μσmM 0.12 0.22 0.00 0.62 | F:μσmM 288.7 64.7 137.0 324.0 | H 1.931 | V 0.030 | pL -0.006 | vL 0.001 | ∇ 0.024
Status saved
U 11 | F 022528 | FPS 0695 | D 32 | rR:μσmM 0.02 0.06 0.00 0.23 | F:μσmM 319.9 11.8 278.0 324.0 | H 1.937 | V -0.005 | pL -0.002 | vL 0.000 | ∇ 0.005
U 11 | F 022528 | FPS 0679 | D 33 | rR:μσmM 0.12 0.22 0.00 0.62 | F:μσmM 288.7 64.7 137.0 324.0 | H 1.935 | V 0.020 | pL 0.004 | vL 0.000 | ∇ 0.017
U 12 | F 024576 | FPS 0690 | D 35 | rR:μσmM 0.04 0.11 0.00 0.44 | F:μσmM 315.2 29.6 202.0 324.0 | H 1.938 | V 0.003 | pL -0.005 | vL 0.001 | ∇ 0.015
U 12 | F 024576 | FPS 0674 | D 36 | rR:μσmM 0.08 0.15 0.00 0.46 | F:μσmM 305.2 40.1 194.0 324.0 | H 1.928 | V 0.030 | pL -0.002 | vL 0.001 | ∇ 0.024
U 13 | F 026624 | FPS 0690 | D 38 | rR:μσmM 0.16 0.27 0.00 0.86 | F:μσmM 276.9 84.6 52.0 324.0 | H 1.921 | V 0.015 | pL -0.014 | vL 0.003 | ∇ 0.050
U 13 | F 026624 | FPS 0679 | D 39 | rR:μσmM 0.09 0.16 0.00 0.46 | F:μσmM 301.8 42.8 194.0 324.0 | H 1.933 | V 0.027 | pL 0.001 | vL 0.001 | ∇ 0.026
U 14 | F 028672 | FPS 0694 | D 41 | rR:μσmM 0.17 0.27 0.00 0.71 | F:μσmM 275.8 84.1 104.0 324.0 | H 1.926 | V 0.014 | pL -0.015 | vL 0.003 | ∇ 0.048
U 14 | F 028672 | FPS 0675 | D 42 | rR:μσmM 0.11 0.21 0.00 0.57 | F:μσmM 292.2 59.6 154.0 324.0 | H 1.929 | V 0.030 | pL -0.007 | vL 0.001 | ∇ 0.031
U 15 | F 030720 | FPS 0684 | D 45 | rR:μσmM 0.22 0.31 0.00 0.78 | F:μσmM 259.8 95.9 79.0 324.0 | H 1.915 | V 0.023 | pL -0.010 | vL 0.002 | ∇ 0.036
