-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 1 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=568050, spec=[0, 6, 1, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 1 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=515170, spec=[0, 6, 1, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0702 | D 2 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.789 | V 0.857 | pL 0.148 | vL 0.003 | ∇ 0.079
U 1 | F 002048 | FPS 0672 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.912 | V -0.418 | pL -0.075 | vL 0.001 | ∇ 0.067
U 2 | F 004096 | FPS 0686 | D 5 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.830 | V 0.742 | pL 0.126 | vL 0.001 | ∇ 0.115
U 2 | F 004096 | FPS 0673 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.915 | V -0.360 | pL -0.064 | vL 0.000 | ∇ 0.072
U 3 | F 006144 | FPS 0687 | D 8 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.844 | V 0.561 | pL 0.182 | vL 0.023 | ∇ 0.223
U 3 | F 006144 | FPS 0676 | D 9 | rR:μσmM 0.01 0.02 0.00 0.10 | F:μσmM 323.9 0.2 323.0 324.0 | H 1.906 | V -0.273 | pL -0.095 | vL 0.006 | ∇ 0.095
U 4 | F 008192 | FPS 0684 | D 11 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.860 | V 0.440 | pL 0.075 | vL 0.001 | ∇ 0.059
U 4 | F 008192 | FPS 0670 | D 12 | rR:μσmM 0.01 0.02 0.00 0.10 | F:μσmM 323.9 0.2 323.0 324.0 | H 1.914 | V -0.209 | pL -0.037 | vL 0.000 | ∇ 0.041
U 5 | F 010240 | FPS 0682 | D 14 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.902 | V 0.377 | pL 0.065 | vL 0.000 | ∇ 0.045
U 5 | F 010240 | FPS 0667 | D 15 | rR:μσmM 0.01 0.02 0.00 0.10 | F:μσmM 323.9 0.2 323.0 324.0 | H 1.932 | V -0.172 | pL -0.030 | vL 0.000 | ∇ 0.031
U 6 | F 012288 | FPS 0699 | D 17 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.913 | V 0.307 | pL 0.069 | vL 0.004 | ∇ 0.069
U 6 | F 012288 | FPS 0670 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.919 | V -0.135 | pL -0.033 | vL 0.001 | ∇ 0.043
U 7 | F 014336 | FPS 0684 | D 20 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.922 | V 0.245 | pL 0.042 | vL 0.000 | ∇ 0.038
U 7 | F 014336 | FPS 0664 | D 21 | rR:μσmM 0.03 0.11 0.00 0.47 | F:μσmM 315.8 32.0 192.0 324.0 | H 1.927 | V -0.100 | pL -0.023 | vL 0.001 | ∇ 0.023
U 8 | F 016384 | FPS 0694 | D 23 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 321.9 8.2 290.0 324.0 | H 1.903 | V 0.180 | pL 0.059 | vL 0.002 | ∇ 0.069
U 8 | F 016384 | FPS 0673 | D 24 | rR:μσmM 0.03 0.11 0.00 0.47 | F:μσmM 315.8 32.0 192.0 324.0 | H 1.934 | V -0.079 | pL -0.028 | vL 0.001 | ∇ 0.023
U 9 | F 018432 | FPS 0681 | D 27 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 321.9 8.2 290.0 324.0 | H 1.922 | V 0.144 | pL 0.026 | vL 0.000 | ∇ 0.021
U 9 | F 018432 | FPS 0663 | D 27 | rR:μσmM 0.03 0.11 0.00 0.47 | F:μσmM 315.8 32.0 192.0 324.0 | H 1.937 | V -0.068 | pL -0.012 | vL 0.000 | ∇ 0.010
U 10 | F 020480 | FPS 0678 | D 30 | rR:μσmM 0.03 0.12 0.00 0.48 | F:μσmM 315.4 33.2 187.0 324.0 | H 1.924 | V 0.121 | pL 0.022 | vL 0.001 | ∇ 0.021
Status saved
U 10 | F 020480 | FPS 0662 | D 30 | rR:μσmM 0.02 0.09 0.00 0.36 | F:μσmM 318.2 22.5 231.0 324.0 | H 1.941 | V -0.056 | pL -0.014 | vL 0.000 | ∇ 0.010
Status saved
U 11 | F 022528 | FPS 0690 | D 33 | rR:μσmM 0.03 0.12 0.00 0.48 | F:μσmM 315.4 33.2 187.0 324.0 | H 1.930 | V 0.091 | pL 0.024 | vL 0.001 | ∇ 0.031
U 11 | F 022528 | FPS 0680 | D 34 | rR:μσmM 0.04 0.12 0.00 0.36 | F:μσmM 312.8 29.8 231.0 324.0 | H 1.941 | V -0.044 | pL -0.017 | vL 0.000 | ∇ 0.011
U 12 | F 024576 | FPS 0681 | D 36 | rR:μσmM 0.02 0.09 0.00 0.36 | F:μσmM 318.2 22.5 231.0 324.0 | H 1.933 | V 0.078 | pL 0.010 | vL 0.000 | ∇ 0.017
U 12 | F 024576 | FPS 0669 | D 37 | rR:μσmM 0.05 0.13 0.00 0.45 | F:μσmM 310.6 36.1 197.0 324.0 | H 1.935 | V -0.025 | pL -0.009 | vL 0.001 | ∇ 0.015
U 13 | F 026624 | FPS 0689 | D 39 | rR:μσmM 0.05 0.12 0.00 0.36 | F:μσmM 311.8 28.8 231.0 324.0 | H 1.939 | V 0.063 | pL 0.018 | vL 0.000 | ∇ 0.020
U 13 | F 026624 | FPS 0675 | D 40 | rR:μσmM 0.09 0.21 0.00 0.71 | F:μσmM 297.4 60.8 105.0 324.0 | H 1.932 | V -0.015 | pL -0.016 | vL 0.002 | ∇ 0.063
U 14 | F 028672 | FPS 0684 | D 42 | rR:μσmM 0.05 0.12 0.00 0.36 | F:μσmM 311.8 28.8 231.0 324.0 | H 1.938 | V 0.055 | pL 0.010 | vL 0.000 | ∇ 0.008
U 14 | F 028672 | FPS 0674 | D 43 | rR:μσmM 0.08 0.19 0.00 0.71 | F:μσmM 303.3 55.1 105.0 324.0 | H 1.931 | V -0.015 | pL -0.009 | vL 0.000 | ∇ 0.016
U 15 | F 030720 | FPS 0683 | D 45 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 322.7 5.1 303.0 324.0 | H 1.941 | V 0.047 | pL 0.009 | vL 0.000 | ∇ 0.006
U 15 | F 030720 | FPS 0672 | D 46 | rR:μσmM 0.12 0.24 0.00 0.72 | F:μσmM 291.2 72.3 102.0 324.0 | H 1.932 | V -0.009 | pL -0.007 | vL 0.000 | ∇ 0.014
U 16 | F 032768 | FPS 0684 | D 48 | rR:μσmM 0.04 0.13 0.00 0.54 | F:μσmM 313.5 37.9 167.0 324.0 | H 1.935 | V 0.042 | pL 0.005 | vL 0.001 | ∇ 0.018
U 16 | F 032768 | FPS 0683 | D 49 | rR:μσmM 0.12 0.23 0.00 0.72 | F:μσmM 289.9 66.9 102.0 324.0 | H 1.926 | V 0.011 | pL -0.014 | vL 0.002 | ∇ 0.051
U 17 | F 034816 | FPS 0675 | D 51 | rR:μσmM 0.04 0.13 0.00 0.54 | F:μσmM 313.5 37.9 167.0 324.0 | H 1.939 | V 0.037 | pL 0.007 | vL 0.000 | ∇ 0.006
U 17 | F 034816 | FPS 0667 | D 52 | rR:μσmM 0.12 0.23 0.00 0.72 | F:μσmM 289.3 67.1 102.0 324.0 | H 1.925 | V -0.001 | pL -0.004 | vL 0.000 | ∇ 0.014
U 18 | F 036864 | FPS 0678 | D 54 | rR:μσmM 0.03 0.13 0.00 0.54 | F:μσmM 314.2 38.0 167.0 324.0 | H 1.943 | V 0.028 | pL 0.009 | vL 0.000 | ∇ 0.010
U 18 | F 036864 | FPS 0665 | D 55 | rR:μσmM 0.14 0.20 0.00 0.72 | F:μσmM 289.7 58.6 102.0 324.0 | H 1.918 | V 0.012 | pL -0.005 | vL 0.001 | ∇ 0.021
U 19 | F 038912 | FPS 0679 | D 57 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.023 | pL 0.004 | vL 0.000 | ∇ 0.005
U 19 | F 038912 | FPS 0671 | D 58 | rR:μσmM 0.13 0.23 0.00 0.70 | F:μσmM 289.4 70.9 108.0 324.0 | H 1.913 | V 0.025 | pL -0.014 | vL 0.002 | ∇ 0.031
U 20 | F 040960 | FPS 0674 | D 60 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.944 | V 0.019 | pL 0.004 | vL 0.000 | ∇ 0.005
Status saved
U 20 | F 040960 | FPS 0669 | D 61 | rR:μσmM 0.26 0.26 0.00 0.73 | F:μσmM 248.9 80.1 99.0 324.0 | H 1.901 | V 0.046 | pL -0.013 | vL 0.002 | ∇ 0.028
Status saved
